Oxygen Pressure,Growth Temperature,Laser Energy Density,Post-growth Dwell Time,Annealing Pressure,Annealing Rate,Substrate Type,Crystallinity,Roughness,Tc,Magnetic Moment,Description,
10 Pa,670 °C,2.45 J/cm²,300 s,100 Pa,5 °C/min,SrTiO3 (001),High,1.2 nm,150 K,1.5 μB,High-quality SrRuO3 thin film with epitaxial growth and optimal SOI performance demonstrated for SOT devices.,
-,700 °C,2 J/cm²,300 s,100 Pa,5 °C/min,(0 0 1),-,-,-,-,"Indications of improved performance with higher temperature growth, leading to enhanced material quality.",
10 Pa,700 °C,2 J/cm²,300 s,100 Pa,5 °C/min,SrTiO3 (100),-,1.2 nm,150 K,1.5 μB,Films exhibited high quality and functionality.,
10 Pa,700 °C,2 J/cm²,300 s,100 Pa,5 °C/min,-,High,1.2 nm,150 K,1.5 μB,Films exhibited good crystallinity and strong ferromagnetism.,
10 Pa,650 °C,300 mJ/cm²,-,100 Pa,5 °C/min,SrTiO3 (001),High,1.2 nm,160 K,1.5 μB,Epitaxial growth of high-quality SrRuO3 films exhibiting ferromagnetic properties.,
100 Pa,650 °C,300 mJ/cm²,-,10 mTorr,5 °C/min,SrTiO3 (001),High,-,150 K,1.2 μB,Improved electronic and magnetic properties observed in SrRuO3 films.,
10 Pa,700 °C,1.4 J/cm²,-,100 Pa,5 °C/min,SrTiO3 (001),-,-,106-130 K,1.5 μB,Exhibits metallic behavior with a kink in resistivity.,
-,700 °C,2 J/cm²,300 s,-,-,SrIrO3,-,-,-,-,Ultrathin films demonstrate ferromagnetism down to monolayer limit.,
10 Pa,700 °C,1.36 J/cm²,-,-,-,SrTiO3 (STO) (001),High,1.2 nm,150 K,1.5 μB,Epitaxial thin films demonstrate in-plane alignment and structural homogeneity.,
2 x 10⁻⁵ mbar,850 °C,1.5 J/cm²,-,-,-,SrTiO3 (001),Good,-,-,-,High-quality epilayers were achieved.,
5 x 10⁻³ mbar,800 °C,0.9 J/cm²,-,-,-,-,-,-,-,-,Used for growing high-quality BTO thin films.,
-,750 °C,1.3 J/cm²,-,-,-,-,-,-,-,-,Potential conditions explored in study.,
-,700 °C,2 J/cm²,-,-,-,-,-,-,-,-,Investigated for optimal ferroelectric properties.,
10 Pa,600 °C,2 J/cm²,300 s,-,-,SrTiO3 (001),High,0.4 nm,150 K,1.5 μB,High quality oxide films with good properties.,
100 Pa,700 °C,2 J/cm²,300 s,-,-,SrTiO3 (001),Moderate,-,150 K,-,"Moderate quality, better under high O2 conditions.",
100 Pa,600 °C,2.0 J/cm²,-,-,-,SRO/SrTiO3 (001),High,< 0.1 nm,150 K,-,Reference for high-resolution imaging.,
0.3 mbar,600 °C,2 J/cm²,-,-,-,TiO2 terminated SrTiO3 (001),-,-,-,-,Achieved good image stability with AFT.,
10 Pa,800 °C,2 J/cm²,300 s,400 torr,5 °C/min,SrTiO3 (001),-,1.2 nm,150 K,1.5 μB,High-quality layers with metallic resistance below 300 K.,
0.3 torr,800 °C,-,-,-,-,SrTiO3,-,-,-,-,Subsequent layers were grown with crystalline quality.,
10 Pa,600 °C,1.5 J/cm²,-,50 kPa,-,STO (001),High,-,-,-,SrRuO3 film grown under specific laser energy and oxygen pressure conditions.,
15 Pa,760 °C,2.0 J/cm²,-,-,-,STO (001),High,-,-,-,LaSrMnO film growth involved high temperature and different laser energy density.,
100 mTorr,700 °C,1.5 - 2 J/cm²,-,-,-,Vicinal SrTiO3 (001),-,-,-,-,SRO layer deposited as bottom electrode by PLD.,
200 mTorr,575 °C,2 - 3 J/cm²,-,-,-,Vicinal SrTiO3 (001),-,-,-,-,PZT layer synthesized on SRO at this condition.,
5 mTorr,700 °C,-,-,-,-,SrTiO3 (0 0 1),High,1.2 nm,150 K,1.5 μB,Achieved symmetric termination at the top interface of the SRO/BTO/SRO heterostructure.,
150 mTorr,700 °C,-,-,-,-,SrTiO3 (0 0 1),High,-,-,-,Exhibited mixed interface terminations; detailed characteristics noted at atomic scale.,
100 mTorr,700 °C,-,-,-,-,SrTiO3 (0 0 1),High,-,-,-,High-quality films confirmed using scanning transmission electron microscopy (STEM).,
120 mTorr,480-490 °C,~6 mJ/pulse,-,-,-,(001)-oriented SrTiO3,-,-,-,-,Initial growth shows weak peaks of Bi2WO6 with W oxide impurities.,
100 mTorr,650 °C,20 mJ/pulse,-,-,-,(001)-oriented SrTiO3,High,~0.28 nm,-,-,High-quality crystallinities with sharp Bi2WO6/SrRuO3 interface.,
60 mTorr,700 °C,350 mJ,-,100 mTorr,5 °C/min,SrTiO3 (001),-,-,-,-,Growth achieved with mixed oxygen mixture of 99% O2 and 1% O3.,
-,700 °C,350 mJ,-,100 mTorr,-,SrTiO3 (001),-,-,-,-,Focus on the syntax for density functional theory predictions.,
150 mTorr,630 °C,-,-,100 mTorr,5 °C/min,SrTiO3 (001),-,-,150 K,1.5 μB,Resulted in thin films with high crystallinity and close-to-bulk properties.,
10 Pa,700 °C,2 J/cm²,300 s,100 Pa,5 °C/min,-,-,1.2 nm,150 K,1.5 μB,Observed good superconducting properties.,
10 Pa,650 °C,2 J/cm²,300 s,100 Pa,5 °C/min,SrTiO3 (STO),-,1.2 nm,150 K,1.5 μB,"High-quality epitaxial growth, magnetic properties maintained.",
100 mTorr,750 °C,2.0 J/cm²,-,-,-,SrTiO3 (100),-,1.3 nm,150 K,1.5 μB,"High quality [110] and [010] oriented films grown, exhibiting spin-glass-like behavior.",
100 mTorr,750 °C,2.0 J/cm²,-,-,-,SrTiO3 (110),-,2.1 nm,160 K,-,Spontaneous alignment of domains observed in [010] oriented films.,
320 mTorr,700 °C,2.1 J/cm²,-,-,-,SrTiO3 (001),Epitaxial,-,-,-,Epitaxial growth with (110) orientation,
-,700 °C,2 J/cm²,300 s,100 Pa,5 °C/min,(110) NdGaO3,High,~1.2 nm,120 K,1.5 μB,Films exhibit atypical humps in transverse resistivity as a function of the external field.,
50 mTorr,800 °C,1.7 J/cm²,-,500 Torr,-,MgO (100),-,-,-,-,Metallic behavior retained after annealing.,
50 mTorr,-,1.7 J/cm²,-,-,-,MgO (100),-,-,-,-,Deposition with a pulse duration of 25 ns.,
-,700 °C,2 J/cm²,300 s,100 Pa,5 °C/min,SrTiO3 (001),-,1.2 nm,150 K,1.5 μB,Growth of high-quality SrRuO3 films with expected properties.,
10 Pa,700 °C,1 J/cm²,300 s,100 Pa,5 °C/min,(001) SrTiO3,High,1.2 nm,100 K,0.3 μB/Ru,"Layered structure, coherent peaks observed.",
10 Pa,700 °C,2 J/cm²,300 s,100 Pa,5 °C/min,(001) SrTiO3,-,-,150 K,1.5 μB,Induces eightfold magnetic anisotropy.,
10 Pa,700 °C,~1 J/cm²,300 s,5×10⁴ Pa,5 °C/min,(001) SrTiO3,High,-,70 K,0.4 μB/Ru,Confirmation of intrinsic magnetic transition in films.,
10 Pa,500 °C,2 J/cm²,300 s,100 Pa,5 °C/min,(001) SrTiO3,-,-,-,-,Films post-growth annealed to remove oxygen vacancies.,
13.3 Pa,873 K,2.3 J/cm²,-,-,-,SrTiO3 (001),-,-,147 K,-,Epitaxial films of SrRuO3 (SRO) and SrRu0.9Cr0.1O3 (SRC) grown by PLD show different properties.,
